id,kind,ja,en,operator,lines,stations,series,status,note_en,note_ja,wikipedia_ja
ticket.gaku,lucky-station,学駅の入場券,Gaku station tickets,jr-shikoku,,学,,active,"Bought for exam luck. Five of its tickets together read ご入学, ""you're in"".",受験合格のお守り。5枚そろえると「ご入学」。,入場券
ticket.kamuro,lucky-station,学文路駅の入場券,Kamuro station tickets,nankai,,学文路,,active,"Its name starts with 学, study, so its tickets are charms for passing exams.",「学」の字から、受験合格の縁起物として人気。,入場券
ticket.gakumon,lucky-station,学門駅の入場券,Gakumon station tickets,kishutetsudo,,学門,,active,"学門, ""the gate of learning"": tickets for exam luck.",「学問」に通じる駅名で、合格祈願の縁起切符。,入場券
ticket.zenibako,lucky-station,銭函駅の入場券,Zenibako station tickets,jr-hokkaido,,銭函,,active,Zenibako means money box: its tickets became charms for wealth.,銭の箱で金運のお守りとして人気に。,入場券
ticket.bokoi,lucky-station,母恋駅の入場券,Bokoi station tickets,jr-hokkaido,,母恋,,active,"""Missing mother"": a favourite Mother's Day present.",「母を恋う」駅名で、母の日の贈り物に人気。,入場券
ticket.ogane,lucky-station,大金駅の切符,Ōgane station tickets,jr-east,,大金,,past,"""Big money"": its tickets, and ones from Hōshakuji (treasure), were lucky charms, but none are sold since the station lost its staff.",「大金」の名で、宝積寺との切符も人気の縁起物だった。無人化後は発売していない。,入場券
ticket.kanae,lucky-station,鼎駅の入場券,Kanae station tickets,jr-central,,鼎,,past,"Read kanae, like 叶え, ""may it come true"". No longer sold since the station lost its staff.",読みの「かなえ」が「叶う」に通じる。無人化後は発売していない。,入場券
ticket.masaki,lucky-station,真幸駅の入場券,Masaki station tickets,jr-kyushu,,真幸,,active,"""True happiness"": one of the oldest lucky station tickets. The station is unstaffed, so they're sold at Hitoyoshi and Yoshimatsu.",「真の幸せ」。縁起切符の最古参。無人駅のため人吉駅・吉松駅で販売。,入場券
ticket.isshochi,lucky-station,一勝地駅の入場券,Isshōchi station tickets,jr-kyushu,,一勝地,,active,"""One win"": sold as certain-victory charm tickets.",「一勝」にあやかった必勝お守り記念入場券。,入場券
ticket.okadome,lucky-station,おかどめ幸福駅の入場券,Okadome-Kōfuku station tickets,kuma-kawatetsu-michi,,おかどめ幸福,,active,"A station named for luck when Kumagawa Railway began, after a nearby shrine.",くま川鉄道発足時に近くの神社にあやかって名付けた駅。,入場券
ticket.kiire,lucky-station,喜入駅の入場券,Kiire station tickets,jr-kyushu,,喜入,,active,"""Joy comes in"": a lucky-name ticket.",「喜びが入る」縁起の良い駅名の入場券。,入場券
ticket.fukuwatari,lucky-station,福渡駅の入場券,Fukuwatari station tickets,jr-west,,福渡,,active,"""Good fortune passes over"". With Kanagawa (gold) and Kikkō (tortoise shell) on the same line and a crane park at Tsuyama, the line's rapid is called Kotobuki, celebration.",「福が渡る」。同じ津山線に金川・亀甲、終点津山に鶴山公園があり、快速は「ことぶき」。,入場券
ticket.hatsutomi,lucky-station,初富駅の入場券,Hatsutomi station tickets,keisei,,初富,,active,"""First riches"": Shin-Keisei sold card tickets for it at New Year.",「初めての富」。新京成時代は新年に硬券入場券を発売。,入場券
ticket.daiho,lucky-station,大宝駅の入場券,Daihō station tickets,kantetsu,,大宝,,active,"""Great treasure"": sold in a lucky-charm pouch at the Jōsō Line's staffed stations.",「大きい宝が入る」。お守りのような「開運大宝入場券」を常総線の有人駅で販売。,入場券
ticket.kowada,lucky-station,小和田駅の入場券,Kowada station tickets,jr-central,,小和田,,active,"Written like Empress Masako's family name Owada, so staff came out to this remote unstaffed station to sell tickets in 1993, the year of her wedding.",皇后雅子さまの旧姓「小和田」と同じ字。ご成婚の1993年には無人駅に係員が出張販売した。,入場券
ticket.ayashi,lucky-station,愛子駅の入場券,Ayashi station tickets,jr-east,,愛子,,active,"Written like Princess Aiko's name (the station reads ayashi), so its tickets became keepsakes.",敬宮愛子さまと同じ字（駅名の読みは「あやし」）で、記念の切符に。,入場券
